video_id,label,split,skeleton_path
68,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0068/0068_light.csv
96,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0096/0096_light.csv
247,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0247/0247_light_hand.csv
172,0,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0172/0172_light_hand.csv
233,0,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0233/0233_light_hand.csv
279,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0279/0279_light.csv
86,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0086/0086_light_hand.csv
276,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0276/0276_light_hand.csv
236,0,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0236/0236_light.csv
93,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0093/0093_light_hand.csv
45,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0045/0045_light_hand.csv
363,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0363/0363_light.csv
264,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0264/0264_light_hand.csv
99,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0099/0099_light_hand.csv
37,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0037/0037_light_hand.csv
197,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0197/0197_light.csv
377,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0377/0377_light_hand.csv
162,0,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0162/0162_light_hand.csv
268,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0268/0268_light_hand.csv
164,0,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0164/0164_light.csv
269,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0269/0269_light.csv
376,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0376/0376_light.csv
28,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0028/0028_light_hand.csv
122,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0122/0122_light.csv
430,0,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0430/0430_light_hand.csv
188,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0188/0188_light_hand.csv
256,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0256/0256_light_hand.csv
13,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0013/0013_light.csv
195,1,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0195/0195_light_hand.csv
102,0,train,/content/miga_data/imigue_data_phase1/datasets/imigue_skeleton_train/0102/0102_light_hand.csv
