video_id,split,video_path,skeleton_path
54,test,/content/miga_data/imigue_rgb_phase2/0054/0054.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0054/0054_light_hand.csv
67,test,/content/miga_data/imigue_rgb_phase2/0067/0067.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0067/0067_light_hand.csv
69,test,/content/miga_data/imigue_rgb_phase2/0069/0069.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0069/0069_light_hand.csv
70,test,/content/miga_data/imigue_rgb_phase2/0070/0070.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0070/0070_light_hand.csv
71,test,/content/miga_data/imigue_rgb_phase2/0071/0071.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0071/0071_light_hand.csv
72,test,/content/miga_data/imigue_rgb_phase2/0072/0072.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0072/0072_light_hand.csv
74,test,/content/miga_data/imigue_rgb_phase2/0074/0074.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0074/0074_light_hand.csv
77,test,/content/miga_data/imigue_rgb_phase2/0077/0077.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0077/0077_light_hand.csv
79,test,/content/miga_data/imigue_rgb_phase2/0079/0079.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0079/0079_light_hand.csv
85,test,/content/miga_data/imigue_rgb_phase2/0085/0085.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0085/0085_light_hand.csv
98,test,/content/miga_data/imigue_rgb_phase2/0098/0098.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0098/0098_light_hand.csv
105,test,/content/miga_data/imigue_rgb_phase2/0105/0105.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0105/0105_light_hand.csv
106,test,/content/miga_data/imigue_rgb_phase2/0106/0106.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0106/0106_light_hand.csv
109,test,/content/miga_data/imigue_rgb_phase2/0109/0109.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0109/0109_light_hand.csv
110,test,/content/miga_data/imigue_rgb_phase2/0110/0110.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0110/0110_light_hand.csv
111,test,/content/miga_data/imigue_rgb_phase2/0111/0111.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0111/0111_light_hand.csv
112,test,/content/miga_data/imigue_rgb_phase2/0112/0112.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0112/0112_light_hand.csv
114,test,/content/miga_data/imigue_rgb_phase2/0114/0114.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0114/0114_light_hand.csv
116,test,/content/miga_data/imigue_rgb_phase2/0116/0116.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0116/0116_light_hand.csv
118,test,/content/miga_data/imigue_rgb_phase2/0118/0118.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0118/0118_light_hand.csv
125,test,/content/miga_data/imigue_rgb_phase2/0125/0125.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0125/0125_light_hand.csv
126,test,/content/miga_data/imigue_rgb_phase2/0126/0126.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0126/0126_light_hand.csv
133,test,/content/miga_data/imigue_rgb_phase2/0133/0133.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0133/0133_light_hand.csv
135,test,/content/miga_data/imigue_rgb_phase2/0135/0135.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0135/0135_light_hand.csv
138,test,/content/miga_data/imigue_rgb_phase2/0138/0138.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0138/0138_light_hand.csv
144,test,/content/miga_data/imigue_rgb_phase2/0144/0144.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0144/0144_light_hand.csv
148,test,/content/miga_data/imigue_rgb_phase2/0148/0148.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0148/0148_light_hand.csv
154,test,/content/miga_data/imigue_rgb_phase2/0154/0154.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0154/0154_light_hand.csv
156,test,/content/miga_data/imigue_rgb_phase2/0156/0156.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0156/0156_light_hand.csv
161,test,/content/miga_data/imigue_rgb_phase2/0161/0161.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0161/0161_light_hand.csv
163,test,/content/miga_data/imigue_rgb_phase2/0163/0163.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0163/0163_light_hand.csv
166,test,/content/miga_data/imigue_rgb_phase2/0166/0166.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0166/0166_light_hand.csv
167,test,/content/miga_data/imigue_rgb_phase2/0167/0167.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0167/0167_light_hand.csv
168,test,/content/miga_data/imigue_rgb_phase2/0168/0168.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0168/0168_light_hand.csv
169,test,/content/miga_data/imigue_rgb_phase2/0169/0169.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0169/0169_light_hand.csv
196,test,/content/miga_data/imigue_rgb_phase2/0196/0196.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0196/0196_light_hand.csv
198,test,/content/miga_data/imigue_rgb_phase2/0198/0198.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0198/0198_light_hand.csv
200,test,/content/miga_data/imigue_rgb_phase2/0200/0200.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0200/0200_light_hand.csv
201,test,/content/miga_data/imigue_rgb_phase2/0201/0201.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0201/0201_light_hand.csv
205,test,/content/miga_data/imigue_rgb_phase2/0205/0205.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0205/0205_light_hand.csv
208,test,/content/miga_data/imigue_rgb_phase2/0208/0208.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0208/0208_light_hand.csv
212,test,/content/miga_data/imigue_rgb_phase2/0212/0212.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0212/0212_light_hand.csv
213,test,/content/miga_data/imigue_rgb_phase2/0213/0213.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0213/0213_light_hand.csv
220,test,/content/miga_data/imigue_rgb_phase2/0220/0220.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0220/0220_light_hand.csv
235,test,/content/miga_data/imigue_rgb_phase2/0235/0235.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0235/0235_light_hand.csv
237,test,/content/miga_data/imigue_rgb_phase2/0237/0237.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0237/0237_light_hand.csv
238,test,/content/miga_data/imigue_rgb_phase2/0238/0238.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0238/0238_light_hand.csv
241,test,/content/miga_data/imigue_rgb_phase2/0241/0241.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0241/0241_light_hand.csv
242,test,/content/miga_data/imigue_rgb_phase2/0242/0242.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0242/0242_light_hand.csv
243,test,/content/miga_data/imigue_rgb_phase2/0243/0243.mp4,/content/miga_data/imigue_data_phase2/imigue_skeleton_test/0243/0243_light_hand.csv
